Stat;YY  ;MM;DD;hh;mm;ss   ;nG;nR;nE;nC;nJ;nS;PDop  ;TDop  ;HDop  ;VDop  ;GDop  ;RecX        ;RecY        ;RecZ        ;RecmX  ;RecmY  ;RecmZ  ;RecN        ;RecE        ;RecU        ;RecmN  ;RecmE  ;RecmU  ;ZTD    ;mZTD   ;  ExZTD;  m0   ;   RecClkG;   RecClkR;  RecClkE;   RecClkC;   RecClkJ;  RecClkS
BOR1;2023;09;03;00;00;00.00; 9; 6; 7; 5; 0; 0;  0.26;  0.57;  0.57;  0.31;  0.41;3738357.2036;1148173.4670;5021816.0094; 0.4906; 0.2822; 0.6472;5793868.9475; 641456.1661;    123.7758; 0.4540; 0.2683; 0.6791; 2.4503; 0.0218;    NaN;   0.44; 2417.7017;    6.3472;    1.7795;   22.7869;    0.0000;    0.0000
BOR1;2023;09;03;00;00;30.00; 9; 6; 7; 5; 0; 0;  0.26;  0.60;  0.50;  0.27;  0.35;3738357.3473;1148173.7943;5021816.1149; 0.5258; 0.3030; 0.6881;5793868.8352; 641456.4401;    124.0021; 0.4823; 0.2884; 0.7253; 2.4531; 0.0331;    NaN;   0.66; 2417.9020;    6.8069;    1.7944;   22.5950;    0.0000;    0.0000
BOR1;2023;09;03;00;01;00.00; 9; 6; 7; 5; 0; 0;  0.26;  0.49;  0.32;  0.17;  0.23;3738357.6218;1148173.7985;5021815.9357; 0.4239; 0.2451; 0.5494;5793868.5150; 641456.3727;    124.0216; 0.3846; 0.2337; 0.5823; 2.4572; 0.0328;    NaN;   0.66; 2417.8476;    6.8847;    1.7777;   22.6001;    0.0000;    0.0000
BOR1;2023;09;03;00;01;30.00; 9; 6; 7; 5; 0; 0;  0.26;  0.47;  0.25;  0.13;  0.18;3738357.7826;1148173.8578;5021815.8370; 0.4110; 0.2390; 0.5273;5793868.3197; 641456.3877;    124.0482; 0.3684; 0.2283; 0.5624; 2.4593; 0.0368;    NaN;   0.75; 2417.8947;    6.9184;    1.7658;   22.5849;    0.0000;    0.0000
BOR1;2023;09;03;00;02;00.00; 9; 5; 7; 5; 0; 0;  0.28;  0.38;  0.16;  0.08;  0.11;3738357.9031;1148173.9300;5021815.7597; 0.3323; 0.1945; 0.4219;5793868.1656; 641456.4259;    124.0706; 0.2938; 0.1863; 0.4530; 2.4611; 0.0334;    NaN;   0.68; 2417.9432;    6.9408;    1.7524;   22.5856;    0.0000;    0.0000
BOR1;2023;09;03;00;02;30.00; 9; 5; 7; 5; 0; 0;  0.28;  0.31;  0.10;  0.05;  0.07;3738357.9558;1148173.9530;5021815.8366; 0.2707; 0.1597; 0.3402;5793868.1676; 641456.4323;    124.1664; 0.2358; 0.1534; 0.3679; 2.4633; 0.0300;    NaN;   0.62; 2418.0291;    6.9490;    1.7481;   22.5859;    0.0000;    0.0000
BOR1;2023;09;03;00;03;00.00; 9; 5; 7; 5; 0; 0;  0.28;  0.33;  0.08;  0.04;  0.06;3738357.9901;1148173.9763;5021815.9670; 0.2806; 0.1671; 0.3493;5793868.2164; 641456.4431;    124.2937; 0.2408; 0.1610; 0.3805; 2.4640; 0.0337;    NaN;   0.70; 2418.1010;    6.9517;    1.7511;   22.5874;    0.0000;    0.0000
BOR1;2023;09;03;00;03;30.00; 9; 5; 7; 5; 0; 0;  0.28;  0.33;  0.07;  0.03;  0.05;3738357.9519;1148173.9342;5021815.9457; 0.2803; 0.1686; 0.3457;5793868.2411; 641456.4133;    124.2469; 0.2367; 0.1629; 0.3793; 2.4643; 0.0360;    NaN;   0.76; 2418.0799;    6.9529;    1.7503;   22.5866;    0.0000;    0.0000
BOR1;2023;09;03;00;04;00.00; 9; 5; 7; 5; 0; 0;  0.28;  0.31;  0.05;  0.03;  0.03;3738357.9358;1148173.9192;5021815.9099; 0.2607; 0.1585; 0.3188;5793868.2347; 641456.4040;    124.2066; 0.2167; 0.1537; 0.3523; 2.4656; 0.0355;    NaN;   0.77; 2418.0459;    6.9515;    1.7503;   22.5853;    0.0000;    0.0000
BOR1;2023;09;03;00;04;30.00; 9; 6; 7; 5; 0; 0;  0.27;  0.27;  0.03;  0.02;  0.02;3738357.9176;1148173.9014;5021815.8830; 0.2236; 0.1375; 0.2713;5793868.2358; 641456.3922;    124.1714; 0.1829; 0.1339; 0.3019; 2.4659; 0.0320;    NaN;   0.71; 2418.0199;    6.9530;    1.7521;   22.5859;    0.0000;    0.0000
