Stat;YY  ;MM;DD;hh;mm;ss   ;nG;nR;nE;nC;nJ;nS;PDop  ;TDop  ;HDop  ;VDop  ;GDop  ;RecX        ;RecY        ;RecZ        ;RecmX  ;RecmY  ;RecmZ  ;RecN        ;RecE        ;RecU        ;RecmN  ;RecmE  ;RecmU  ;ZTD    ;mZTD   ;  ExZTD;  m0   ;   RecClkG;   RecClkR;  RecClkE;   RecClkC;   RecClkJ;  RecClkS
PTBB;2023;09;03;00;00;00.00; 8; 6; 7;12; 0; 0;  0.30;  0.91;  0.98;  0.52;  0.58;3844059.5724; 709661.4064;5023129.4613; 0.7946; 0.4414; 0.9744;5794985.6977; 599547.1030;    129.9467; 0.6556; 0.4347; 1.0756; 2.4531; 0.0369;    NaN;   0.74;   56.4705;   -4.6721;   -2.7178;  -14.1656;    0.0000;    0.0000
PTBB;2023;09;03;00;00;30.00; 8; 6; 7;12; 0; 0;  0.30;  0.75;  0.66;  0.35;  0.39;3844058.9172; 709661.2811;5023129.2842; 0.6626; 0.3682; 0.8090;5794986.1169; 599547.0902;    129.3985; 0.5434; 0.3631; 0.8955; 2.4566; 0.0435;    NaN;   0.88;   56.1932;   -4.5450;   -2.6496;  -14.1374;    0.0000;    0.0000
PTBB;2023;09;03;00;01;00.00; 8; 6; 7;12; 0; 0;  0.30;  0.57;  0.41;  0.21;  0.24;3844058.5125; 709661.3291;5023129.3698; 0.5072; 0.2825; 0.6147;5794986.4795; 599547.2037;    129.2283; 0.4130; 0.2790; 0.6830; 2.4606; 0.0408;    NaN;   0.83;   56.0677;   -4.6018;   -2.6934;  -14.0469;    0.0000;    0.0000
PTBB;2023;09;03;00;01;30.00; 8; 6; 7;12; 0; 0;  0.32;  0.45;  0.26;  0.14;  0.15;3844058.7758; 709661.3439;5023129.5618; 0.4080; 0.2284; 0.4900;5794986.3894; 599547.1722;    129.5402; 0.3295; 0.2259; 0.5469; 2.4628; 0.0380;    NaN;   0.77;   56.2388;   -4.5598;   -2.6776;  -13.9731;    0.0000;    0.0000
PTBB;2023;09;03;00;02;00.00; 8; 6; 7;12; 0; 0;  0.32;  0.40;  0.18;  0.09;  0.10;3844058.8046; 709661.3998;5023129.5901; 0.3582; 0.2018; 0.4252;5794986.3772; 599547.2222;    129.5861; 0.2866; 0.1999; 0.4773; 2.4660; 0.0373;    NaN;   0.77;   56.2700;   -4.5555;   -2.6875;  -13.9650;    0.0000;    0.0000
PTBB;2023;09;03;00;02;30.00; 8; 6; 7;13; 0; 0;  0.31;  0.46;  0.16;  0.09;  0.10;3844058.9599; 709661.3786;5023129.6078; 0.4177; 0.2370; 0.4893;5794986.2693; 599547.1753;    129.6911; 0.3307; 0.2351; 0.5526; 2.4676; 0.0474;    NaN;   0.99;   56.3552;   -4.5297;   -2.6920;  -13.9583;    0.0000;    0.0000
PTBB;2023;09;03;00;03;00.00; 8; 7; 7;13; 0; 0;  0.31;  0.41;  0.11;  0.06;  0.07;3844058.9670; 709661.3428;5023129.6658; 0.3665; 0.2099; 0.4234;5794986.3036; 599547.1382;    129.7373; 0.2871; 0.2084; 0.4815; 2.4682; 0.0447;    NaN;   0.95;   56.3562;   -4.5359;   -2.6921;  -13.9581;    0.0000;    0.0000
PTBB;2023;09;03;00;03;30.00; 8; 7; 7;12; 0; 0;  0.32;  0.31;  0.07;  0.03;  0.04;3844059.0881; 709661.3272;5023129.6671; 0.2759; 0.1595; 0.3142;5794986.2117; 599547.1027;    129.8094; 0.2137; 0.1587; 0.3598; 2.4669; 0.0356;    NaN;   0.78;   56.4150;   -4.5267;   -2.6912;  -13.9619;    0.0000;    0.0000
PTBB;2023;09;03;00;04;00.00; 8; 7; 7;12; 0; 0;  0.32;  0.32;  0.06;  0.03;  0.03;3844059.1561; 709661.3108;5023129.6427; 0.2825; 0.1652; 0.3173;5794986.1457; 599547.0756;    129.8292; 0.2165; 0.1645; 0.3659; 2.4678; 0.0382;    NaN;   0.86;   56.4552;   -4.5326;   -2.6913;  -13.9597;    0.0000;    0.0000
PTBB;2023;09;03;00;04;30.00; 8; 7; 7;12; 0; 0;  0.32;  0.29;  0.04;  0.02;  0.02;3844059.2404; 709661.3004;5023129.5990; 0.2563; 0.1517; 0.2840;5794986.0545; 599547.0518;    129.8441; 0.1943; 0.1513; 0.3297; 2.4673; 0.0359;    NaN;   0.84;   56.4801;   -4.5342;   -2.6902;  -13.9573;    0.0000;    0.0000
